,h,s,v,l,a,b,hasil
1,103.992,136.5072,213.6084,153.0976,139.566,88.0592,NEGATIF
2,104.9644,159.4908,181.5356,119.5092,141.142,85.9276,+/-
3,104.122,179.3124,159.4012,99.52,140.4036,87.134,+
4,106.5432,162.838,167.2144,104.5564,143.6848,85.3476,++
5,106.8224,230.6956,133.8552,65.8052,146.8792,82.4532,+++
6,110.614,230.2276,115.7876,45.9468,152.1796,82.2308,++++
