,h,s,v,l,a,b,hasil
1,106.6768,120.1016,206.9148,148.4608,143.9972,89.1076,NEGATIF
2,108.8496,142.4692,171.6488,109.6928,146.5844,85.922,+/-
3,114.4256,158.3088,164.6488,90.332,154.4624,78.3224,+
4,118.0676,167.8476,163.5592,79.6032,161.3576,72.2412,++
5,120.928,166.7624,156.5532,73.5076,154.866,72.7904,+++
6,116.2488,175.2692,119.8844,51.8384,145.6368,83.1368,++++
