,h,s,v,l,a,b,hasil
1,103.5708,190.0296,216.5616,143.8436,135.2072,80.6592,NEGATIF
2,101.3504,203.1348,178.2972,118.7112,133.4244,87.2284,+/-
3,98.6376,214.7732,147.162,97.8884,132.1432,93.516,+
4,94.78,163.778,143.958,98.0768,133.9176,98.8524,++
5,82.9376,114.4916,121.1032,77.1416,140.8536,103.6948,+++
6,104.2064,229.16,176.1956,104.2348,140.0576,79.7608,5-10
7,100.9332,180.3104,175.4164,120.01,134.0884,89.7884,50
