,h,s,v,l,a,b,hasil
1,102.6888,118.1312,216.0308,161.8196,140.0524,92.0188,NEGATIF
2,106.3496,133.9596,185.976,127.43,143.6248,88.1368,POSITIF
3,127.4116,189.6752,171.64,76.46,175.2844,65.248,POSITIF
