,h,s,v,l,a,b,hasil
1,95.1992,201.6856,173.1504,123.702,125.0856,98.3084,NEGATIF
2,100.5592,167.3016,213.0264,154.188,130.7312,98.3084,+/-
3,94.1112,182.5204,153.3776,106.0888,129.6776,99.8864,+
4,88.9304,148.8344,164.564,117.6892,130.2896,110.9584,++
5,77.034,122.202,161.1792,115.8404,133.1652,104.8516,+++
6,81.764,122.202,133.9864,88.3932,134.5256,107.9672,++++
