,h,s,v,l,a,b,hasil
1,109.1376,193.6956,223.7804,128.2576,149.7764,67.1056,"5,0"
2,103.9792,204.5344,184.84,115.3756,138.4144,81.4824,"6,0"
3,102.3516,248.932,158.5624,94.5172,137.59,84.6092,"6,5"
4,96.6272,202.976,167.9296,119.2424,127.0956,96.0488,"7,0"
5,91.3124,178.6732,151.874,104.3916,128.6552,103.3732,"7,5"
6,92.4572,186.044,137.4476,90.4916,131.2388,101.6532,"8,0"
7,60.5856,125.1124,133.0144,90.7432,141.8244,110.9916,"9,0"
